Task,Day,Verifier,Starttime,Endtime,Duration,Pre-Consent Enabled,Pre-Consent Configured
1,1,LMU Reader,1732815479306,1732815482580,3274,False,False
2,1,Studierendenwerk Reader,1732815544837,1732815550051,5214,False,False
3,1,SaveSeat GmbH Reader,1732815564964,1732815570759,5795,False,False
4,2,Studierendenwerk Reader,1732815584808,1732815596312,11504,False,False
5,2,SaveSeat GmbH Reader,1732815603805,1732815606160,2355,False,False
6,2,MVG Reader,1732815655147,1732815657913,2766,False,False
7,3,Studierendenwerk Reader,1732815675343,1732815678298,2955,False,False
8,3,LMU Reader,1732815687151,1732815689564,2413,False,False
9,3,Studierendenwerk Reader,1732815789867,1732815791719,1852,False,False
10,4,MVG Reader,1732815807076,1732815808473,1397,False,False
11,4,LMU Reader,1732815817362,1732815820738,3376,False,False
12,4,SaveSeat GmbH Reader,1732815840890,1732815844525,3635,False,False
13,5,Studierendenwerk Reader,1732815868228,1732815870641,2413,False,False
14,5,LMU Reader,1732815883794,1732815888230,4436,False,False
15,5,SaveSeat GmbH Reader,1732815899945,1732815904375,4430,False,False
16,1,Studierendenwerk Reader,1732816031431,1732816033967,2536,True,False
17,1,SaveSeat GmbH Reader,1732816049729,1732816051756,2027,True,False
18,1,LMU Reader,1732815972375,1732815977117,4742,True,False
19,2,MVG Reader,1732816066040,1732816081952,15912,True,False
20,2,Studierendenwerk Reader,1732816095678,1732816095681,3,True,True
21,2,SaveSeat GmbH Reader,1732816119662,1732816119665,3,True,True
22,3,LMU Reader,1732816156817,1732816156819,2,True,True
23,3,Studierendenwerk Reader,1732816184296,1732816184297,1,True,True
24,3,MVG Reader,1732816196564,1732816196565,1,True,True
25,4,Studierendenwerk Reader,1732816217409,1732816217410,1,True,True
26,4,LMU Reader,1732816240108,1732816247723,7615,True,False
27,4,SaveSeat GmbH Reader,1732816314096,1732816324470,10374,True,False
28,5,LMU Reader,1732816351355,1732816351356,1,True,True
29,5,Studierendenwerk Reader,1732816360659,1732816360660,1,True,True
30,5,SaveSeat GmbH Reader,1732816370573,1732816377243,6670,True,False
