Task,Day,Verifier,Starttime,Endtime,Duration,Pre-Consent Enabled,Pre-Consent Configured
1,1,LMU Reader,1732792425325,1732792435296,9971,False,False
2,1,Studierendenwerk Reader,1732792472177,1732792481200,9023,False,False
3,1,SaveSeat GmbH Reader,1732792500502,1732792508406,7904,False,False
4,2,Studierendenwerk Reader,1732792526643,1732792529574,2931,False,False
5,2,SaveSeat GmbH Reader,1732792542049,1732792546489,4440,False,False
6,2,MVG Reader,1732792564082,1732792576274,12192,False,False
7,3,Studierendenwerk Reader,1732792601043,1732792603899,2856,False,False
8,3,LMU Reader,1732792616069,1732792619144,3075,False,False
9,3,Studierendenwerk Reader,1732792630264,1732792634685,4421,False,False
10,4,MVG Reader,1732792651167,1732792656355,5188,False,False
11,4,LMU Reader,1732792668144,1732792692286,24142,False,False
12,4,SaveSeat GmbH Reader,1732792710883,1732792722072,11189,False,False
13,5,Studierendenwerk Reader,1732792744611,1732792747481,2870,False,False
14,5,LMU Reader,1732792763902,1732792767287,3385,False,False
15,5,SaveSeat GmbH Reader,1732792781133,1732792794091,12958,False,False
16,1,Studierendenwerk Reader,1732792924453,1732792951568,27115,True,False
17,1,LMU Reader,1732792979698,1732792990783,11085,True,False
18,1,SaveSeat GmbH Reader,1732793003632,1732793018545,14913,True,False
19,2,MVG Reader,1732793034112,1732793042335,8223,True,False
20,2,Studierendenwerk Reader,1732793062846,1732793062848,2,True,True
21,2,SaveSeat GmbH Reader,1732793077746,1732793088797,11051,True,False
22,3,LMU Reader,1732793110120,1732793110123,3,True,True
23,3,Studierendenwerk Reader,1732793202173,1732793202175,2,True,True
24,3,MVG Reader,1732793214906,1732793214908,2,True,True
25,4,Studierendenwerk Reader,1732793231379,1732793231382,3,True,True
26,4,LMU Reader,1732793241203,1732793283609,42406,True,False
27,4,SaveSeat GmbH Reader,1732793301822,1732793318735,16913,True,False
28,5,LMU Reader,1732793337312,1732793337314,2,True,True
29,5,Studierendenwerk Reader,1732793349746,1732793349748,2,True,True
30,5,SaveSeat GmbH Reader,1732793359107,1732793363093,3986,True,False
