Task,Day,Verifier,Starttime,Endtime,Duration,Pre-Consent Enabled,Pre-Consent Configured
1,1,LMU Reader,1732985252159,1732985260636,8477,False,False
2,1,Studierendenwerk Reader,1732985274145,1732985279359,5214,False,False
3,1,SaveSeat GmbH Reader,1732985309988,1732985310985,997,False,False
4,2,Studierendenwerk Reader,1732985323428,1732985325181,1753,False,False
5,2,SaveSeat GmbH Reader,1732985333692,1732985334570,878,False,False
6,2,MVG Reader,1732985356115,1732985357838,1723,False,False
7,3,Studierendenwerk Reader,1732985377469,1732985387957,10488,False,False
8,3,LMU Reader,1732985401681,1732985405865,4184,False,False
9,3,Studierendenwerk Reader,1732985414237,1732985416355,2118,False,False
10,4,MVG Reader,1732985436779,1732985439045,2266,False,False
11,4,LMU Reader,1732985464818,1732985468417,3599,False,False
12,4,SaveSeat GmbH Reader,1732985573170,1732985577829,4659,False,False
13,5,Studierendenwerk Reader,1732985613842,1732985623955,10113,False,False
14,5,LMU Reader,1732985661370,1732985664236,2866,False,False
15,5,SaveSeat GmbH Reader,1732985675273,1732985682765,7492,False,False
16,1,Studierendenwerk Reader,1732985748818,1732985750847,2029,True,False
17,1,LMU Reader,1732985774566,1732985783821,9255,True,False
18,1,SaveSeat GmbH Reader,1732985793528,1732985803863,10335,True,False
19,2,MVG Reader,1732985844775,1732985864415,19640,True,False
20,2,Studierendenwerk Reader,1732985905040,1732985905043,3,True,True
21,2,SaveSeat GmbH Reader,1732985957444,1732985959467,2023,True,False
22,3,LMU Reader,1732985971955,1732985974961,3006,True,False
23,3,Studierendenwerk Reader,1732985980711,1732985980714,3,True,True
24,3,MVG Reader,1732985990765,1732985997456,6691,True,False
25,4,Studierendenwerk Reader,1732986046796,1732986046798,2,True,True
26,4,LMU Reader,1732986100952,1732986105782,4830,True,False
27,4,SaveSeat GmbH Reader,1732986156083,1732986157529,1446,True,False
28,5,LMU Reader,1732986167311,1732986191419,24108,True,False
29,5,Studierendenwerk Reader,1732986249213,1732986249218,5,True,True
30,5,SaveSeat GmbH Reader,1732986257007,1732986259050,2043,True,False
