Task,Day,Verifier,Starttime,Endtime,Duration,Pre-Consent Enabled,Pre-Consent Configured
1,1,LMU Reader,1732715914301,1732715923562,9261,False,False
2,1,Studierendenwerk Reader,1732715939776,1732715947803,8027,False,False
3,1,SaveSeat GmbH Reader,1732715963331,1732715978215,14884,False,False
4,2,Studierendenwerk Reader,1732716020279,1732716026304,6025,False,False
5,2,SaveSeat GmbH Reader,1732716041135,1732716044832,3697,False,False
6,2,MVG Reader,1732716056359,1732716089435,33076,False,False
7,3,Studierendenwerk Reader,1732716107127,1732716109081,1954,False,False
8,3,LMU Reader,1732716180633,1732716185030,4397,False,False
9,3,Studierendenwerk Reader,1732716197330,1732716199619,2289,False,False
10,4,MVG Reader,1732716223905,1732716229255,5350,False,False
11,4,LMU Reader,1732716266023,1732716284077,18054,False,False
12,4,SaveSeat GmbH Reader,1732716322788,1732716331568,8780,False,False
13,5,Studierendenwerk Reader,1732716357533,1732716360643,3110,False,False
14,5,LMU Reader,1732716371023,1732716373913,2890,False,False
15,5,SaveSeat GmbH Reader,1732716395402,1732716415844,20442,False,False
16,1,Studierendenwerk Reader,1732716533970,1732716547227,13257,True,False
17,1,LMU Reader,1732716561629,1732716566912,5283,True,False
18,1,SaveSeat GmbH Reader,1732716581307,1732716584950,3643,True,False
19,2,MVG Reader,1732716598587,1732716603871,5284,True,False
20,2,Studierendenwerk Reader,1732716625418,1732716625421,3,True,True
21,2,SaveSeat GmbH Reader,1732716645061,1732716645064,3,True,True
22,3,LMU Reader,1732716787234,1732716787236,2,True,True
23,3,Studierendenwerk Reader,1732716824837,1732716824839,2,True,True
24,3,MVG Reader,1732716844509,1732716844512,3,True,True
25,4,Studierendenwerk Reader,1732716855492,1732716855495,3,True,True
26,4,LMU Reader,1732716870892,1732716913558,42666,True,False
27,4,SaveSeat GmbH Reader,1732716961648,1732716984153,22505,True,False
28,5,LMU Reader,1732717145976,1732717145979,3,True,True
29,5,Studierendenwerk Reader,1732717157294,1732717157296,2,True,True
30,5,SaveSeat GmbH Reader,1732717166901,1732717180175,13274,True,False
