Task,Day,Verifier,Starttime,Endtime,Duration,Pre-Consent Enabled,Pre-Consent Configured
1,1,LMU Reader,1732978822980,1732978834109,11129,False,False
2,1,Studierendenwerk Reader,1732978844549,1732978854033,9484,False,False
3,1,SaveSeat GmbH Reader,1732978922426,1732978940950,18524,False,False
4,2,Studierendenwerk Reader,1732978958040,1732978964958,6918,False,False
5,2,SaveSeat GmbH Reader,1732978975773,1732978980479,4706,False,False
6,2,MVG Reader,1732978990072,1732978998478,8406,False,False
7,3,Studierendenwerk Reader,1732979016269,1732979021710,5441,False,False
8,3,LMU Reader,1732979031412,1732979036673,5261,False,False
9,3,Studierendenwerk Reader,1732979048812,1732979051479,2667,False,False
10,4,MVG Reader,1732979067384,1732979069397,2013,False,False
11,4,LMU Reader,1732979082440,1732979090716,8276,False,False
12,4,SaveSeat GmbH Reader,1732979147684,1732979234096,86412,False,False
13,5,Studierendenwerk Reader,1732979277909,1732979283274,5365,False,False
14,5,LMU Reader,1732979325692,1732979331279,5587,False,False
15,5,SaveSeat GmbH Reader,1732979343808,1732979382147,38339,False,False
16,1,Studierendenwerk Reader,1732979460087,1732979484626,24539,True,False
17,1,LMU Reader,1732979512808,1732979519771,6963,True,False
18,1,SaveSeat GmbH Reader,1732979536292,1732979584722,48430,True,False
19,2,MVG Reader,1732979616381,1732979631276,14895,True,False
20,2,Studierendenwerk Reader,1732979663403,1732979663404,1,True,True
21,2,SaveSeat GmbH Reader,1732979704993,1732979704994,1,True,True
22,3,LMU Reader,1732979777004,1732979788957,11953,True,False
23,3,Studierendenwerk Reader,1732979794623,1732979794623,0,True,True
24,3,MVG Reader,1732979812031,1732979812037,6,True,True
25,4,Studierendenwerk Reader,1732979824160,1732979824161,1,True,True
26,4,LMU Reader,1732979834083,1732979842836,8753,True,False
27,4,SaveSeat GmbH Reader,1732979855508,1732979907712,52204,True,False
28,5,LMU Reader,1732979946330,1732979956379,10049,True,False
29,5,Studierendenwerk Reader,1732979967466,1732979967470,4,True,True
30,5,SaveSeat GmbH Reader,1732979978341,1732979995131,16790,True,False
