Task,Day,Verifier,Starttime,Endtime,Duration,Pre-Consent Enabled,Pre-Consent Configured
1,1,LMU Reader,1732729972311,1732729977687,5376,False,False
2,1,Studierendenwerk Reader,1732729994430,1732730004643,10213,False,False
3,1,SaveSeat GmbH Reader,1732730020982,1732730026987,6005,False,False
4,2,Studierendenwerk Reader,1732730053285,1732730058747,5462,False,False
5,2,SaveSeat GmbH Reader,1732730089588,1732730097664,8076,False,False
6,2,MVG Reader,1732730114725,1732730120679,5954,False,False
7,3,Studierendenwerk Reader,1732730143963,1732730147844,3881,False,False
8,3,LMU Reader,1732730160885,1732730164347,3462,False,False
9,3,Studierendenwerk Reader,1732730174896,1732730177426,2530,False,False
10,4,MVG Reader,1732730194320,1732730196543,2223,False,False
11,4,LMU Reader,1732730211309,1732730215601,4292,False,False
12,4,SaveSeat GmbH Reader,1732730293347,1732730315623,22276,False,False
13,5,Studierendenwerk Reader,1732730342751,1732730345054,2303,False,False
14,5,LMU Reader,1732730353471,1732730356680,3209,False,False
15,5,SaveSeat GmbH Reader,1732730364022,1732730381509,17487,False,False
16,1,Studierendenwerk Reader,1732730534546,1732730541308,6762,True,False
17,1,LMU Reader,1732730555107,1732730573891,18784,True,False
18,1,SaveSeat GmbH Reader,1732730592859,1732730596696,3837,True,False
19,2,MVG Reader,1732730616715,1732730623940,7225,True,False
20,2,Studierendenwerk Reader,1732730634689,1732730634692,3,True,True
21,2,SaveSeat GmbH Reader,1732730648802,1732730685538,36736,True,False
22,3,LMU Reader,1732730705577,1732730705580,3,True,True
23,3,Studierendenwerk Reader,1732730764393,1732730764393,0,True,True
24,3,MVG Reader,1732730773733,1732730778808,5075,True,False
25,4,Studierendenwerk Reader,1732730837296,1732730837297,1,True,True
26,4,LMU Reader,1732730847721,1732730859472,11751,True,False
27,4,SaveSeat GmbH Reader,1732731004932,1732731028322,23390,True,False
28,5,LMU Reader,1732731088234,1732731088240,6,True,True
29,5,Studierendenwerk Reader,1732731102576,1732731102577,1,True,True
30,5,SaveSeat GmbH Reader,1732731136103,1732731151272,15169,True,False
