Task,Day,Verifier,Starttime,Endtime,Duration,Pre-Consent Enabled,Pre-Consent Configured
1,1,LMU Reader,1732709387836,1732709454524,66688,False,False
2,1,Studierendenwerk Reader,1732709577273,1732709747669,170396,False,False
3,1,SaveSeat GmbH Reader,1732709769844,1732709780091,10247,False,False
4,2,Studierendenwerk Reader,1732709827427,1732709844225,16798,False,False
5,2,SaveSeat GmbH Reader,1732709855542,1732709861837,6295,False,False
6,2,MVG Reader,1732709801580,1732709816898,15318,False,False
7,3,Studierendenwerk Reader,1732709878254,1732709951880,73626,False,False
8,3,LMU Reader,1732709974922,1732709983009,8087,False,False
9,3,Studierendenwerk Reader,1732709999363,1732710008016,8653,False,False
10,4,MVG Reader,1732710028979,1732710041150,12171,False,False
11,4,LMU Reader,1732710079599,1732710084946,5347,False,False
12,4,SaveSeat GmbH Reader,1732710104336,1732710191284,86948,False,False
13,5,Studierendenwerk Reader,1732710222041,1732710223633,1592,False,False
14,5,LMU Reader,1732710240000,1732710242270,2270,False,False
15,5,SaveSeat GmbH Reader,1732710256792,1732710318774,61982,False,False
16,1,Studierendenwerk Reader,1732710423797,1732710443630,19833,True,False
17,1,LMU Reader,1732710465970,1732710642180,176210,True,False
18,1,SaveSeat GmbH Reader,1732710673827,1732710681745,7918,True,False
19,2,MVG Reader,1732710696919,1732710703302,6383,True,False
20,2,Studierendenwerk Reader,1732710721932,1732710721934,2,True,True
21,2,SaveSeat GmbH Reader,1732710824515,1732710825917,1402,True,False
22,3,LMU Reader,1732710851912,1732710851913,1,True,True
23,3,Studierendenwerk Reader,1732710868240,1732710868240,0,True,True
24,3,MVG Reader,1732710885224,1732710885224,0,True,True
25,4,Studierendenwerk Reader,1732710906724,1732710906724,0,True,True
26,4,LMU Reader,1732710920436,1732711033111,112675,True,False
27,4,SaveSeat GmbH Reader,1732711060306,1732711065648,5342,True,False
28,5,LMU Reader,1732711080732,1732711080735,3,True,True
29,5,Studierendenwerk Reader,1732711091158,1732711091160,2,True,True
30,5,SaveSeat GmbH Reader,1732711174467,1732711178692,4225,True,False
