Task,Day,Verifier,Starttime,Endtime,Duration,Pre-Consent Enabled,Pre-Consent Configured
1,1,LMU Reader,1732799441426,1732799499153,57727,False,False
2,1,Studierendenwerk Reader,1732799510779,1732799540058,29279,False,False
3,1,SaveSeat GmbH Reader,1732799562395,1732799595936,33541,False,False
4,2,Studierendenwerk Reader,1732799613316,1732799623239,9923,False,False
5,2,SaveSeat GmbH Reader,1732799630868,1732799671597,40729,False,False
6,2,MVG Reader,1732799683162,1732799698734,15572,False,False
7,3,Studierendenwerk Reader,1732799714683,1732799739069,24386,False,False
8,3,LMU Reader,1732799754015,1732799786224,32209,False,False
9,3,Studierendenwerk Reader,1732799797445,1732799804980,7535,False,False
10,4,MVG Reader,1732799816897,1732799826727,9830,False,False
11,4,LMU Reader,1732799844656,1732799860772,16116,False,False
12,4,SaveSeat GmbH Reader,1732799871554,1732799904599,33045,False,False
13,5,Studierendenwerk Reader,1732799918347,1732799927270,8923,False,False
14,5,LMU Reader,1732799936200,1732799952619,16419,False,False
15,5,SaveSeat GmbH Reader,1732799965811,1732799987285,21474,False,False
16,1,Studierendenwerk Reader,1732800077287,1732800172779,95492,True,False
17,1,LMU Reader,1732800183981,1732800212789,28808,True,False
18,1,SaveSeat GmbH Reader,1732800234053,1732800240161,6108,True,False
19,2,MVG Reader,1732800253136,1732800258236,5100,True,False
20,2,Studierendenwerk Reader,1732800268377,1732800272912,4535,True,False
21,2,SaveSeat GmbH Reader,1732800286206,1732800291448,5242,True,False
22,3,LMU Reader,1732800306501,1732800306503,2,True,True
23,3,Studierendenwerk Reader,1732800384341,1732800389454,5113,True,False
24,3,MVG Reader,1732800398824,1732800405390,6566,True,False
25,4,Studierendenwerk Reader,1732800420546,1732800424967,4421,True,False
26,4,LMU Reader,1732800437979,1732800466728,28749,True,False
27,4,SaveSeat GmbH Reader,1732800504695,1732800512221,7526,True,False
28,5,LMU Reader,1732800535215,1732800535217,2,True,True
29,5,Studierendenwerk Reader,1732800556664,1732800563572,6908,True,False
30,5,SaveSeat GmbH Reader,1732800574665,1732800582761,8096,True,False
