Task,Day,Verifier,Starttime,Endtime,Duration,Pre-Consent Enabled,Pre-Consent Configured
1,1,LMU Reader,1732795287967,1732795294720,6753,False,False
2,1,Studierendenwerk Reader,1732795309348,1732795313609,4261,False,False
3,1,SaveSeat GmbH Reader,1732795322746,1732795325614,2868,False,False
4,2,Studierendenwerk Reader,1732795336807,1732795339253,2446,False,False
5,2,SaveSeat GmbH Reader,1732795347987,1732795349425,1438,False,False
6,2,MVG Reader,1732795358112,1732795361344,3232,False,False
7,3,Studierendenwerk Reader,1732795379476,1732795380755,1279,False,False
8,3,LMU Reader,1732795398645,1732795400993,2348,False,False
9,3,Studierendenwerk Reader,1732795419109,1732795420258,1149,False,False
10,4,MVG Reader,1732795434832,1732795436253,1421,False,False
11,4,LMU Reader,1732795449092,1732795450482,1390,False,False
12,4,SaveSeat GmbH Reader,1732795459679,1732795462459,2780,False,False
13,5,Studierendenwerk Reader,1732795485537,1732795487043,1506,False,False
14,5,LMU Reader,1732795497870,1732795498896,1026,False,False
15,5,SaveSeat GmbH Reader,1732795509780,1732795510974,1194,False,False
16,1,Studierendenwerk Reader,1732795594198,1732795599174,4976,True,False
17,1,LMU Reader,1732795609916,1732795612953,3037,True,False
18,1,SaveSeat GmbH Reader,1732795624394,1732795626514,2120,True,False
19,2,MVG Reader,1732795635852,1732795639444,3592,True,False
20,2,Studierendenwerk Reader,1732795651157,1732795651159,2,True,True
21,2,SaveSeat GmbH Reader,1732795662711,1732795662713,2,True,True
22,3,LMU Reader,1732795681796,1732795681798,2,True,True
23,3,Studierendenwerk Reader,1732795694209,1732795694211,2,True,True
24,3,MVG Reader,1732795706485,1732795706488,3,True,True
25,4,Studierendenwerk Reader,1732795724995,1732795724997,2,True,True
26,4,LMU Reader,1732795735470,1732795803173,67703,True,False
27,4,SaveSeat GmbH Reader,1732795823776,1732795864002,40226,True,False
28,5,LMU Reader,1732795916503,1732795916505,2,True,True
29,5,Studierendenwerk Reader,1732795925224,1732795925227,3,True,True
30,5,SaveSeat GmbH Reader,1732795934539,1732795947343,12804,True,False
