Task,Day,Verifier,Starttime,Endtime,Duration,Pre-Consent Enabled,Pre-Consent Configured
1,1,LMU Reader,1732613116478,1732613128409,11931,False,False
2,1,Studierendenwerk Reader,1732613140165,1732613151246,11081,False,False
3,1,SaveSeat GmbH Reader,1732613183135,1732613187657,4522,False,False
4,2,Studierendenwerk Reader,1732613204826,1732613207119,2293,False,False
5,2,SaveSeat GmbH Reader,1732613246479,1732613250220,3741,False,False
6,2,MVG Reader,1732613266067,1732613272126,6059,False,False
7,3,Studierendenwerk Reader,1732613293043,1732613296794,3751,False,False
8,3,LMU Reader,1732613310612,1732613314554,3942,False,False
9,3,Studierendenwerk Reader,1732613364944,1732613366931,1987,False,False
10,4,MVG Reader,1732613384066,1732613385895,1829,False,False
11,4,LMU Reader,1732613460701,1732613474189,13488,False,False
12,4,SaveSeat GmbH Reader,1732613490996,1732613492890,1894,False,False
13,5,Studierendenwerk Reader,1732613507291,1732613509487,2196,False,False
14,5,LMU Reader,1732613523682,1732613525932,2250,False,False
15,5,SaveSeat GmbH Reader,1732613622659,1732613625234,2575,False,False
16,1,Studierendenwerk Reader,1732613814902,1732613821354,6452,True,False
17,1,LMU Reader,1732613833866,1732613836876,3010,True,False
18,1,SaveSeat GmbH Reader,1732613862890,1732613867413,4523,True,False
19,2,MVG Reader,1732613879174,1732613881995,2821,True,False
20,2,Studierendenwerk Reader,1732613895274,1732613895277,3,True,True
21,2,SaveSeat GmbH Reader,1732613921980,1732613921983,3,True,True
22,3,LMU Reader,1732613938694,1732613938697,3,True,True
23,3,Studierendenwerk Reader,1732613952720,1732613952723,3,True,True
24,3,MVG Reader,1732613969075,1732613969078,3,True,True
25,4,Studierendenwerk Reader,1732613982982,1732613982985,3,True,True
26,4,LMU Reader,1732613999632,1732614007143,7511,True,False
27,4,SaveSeat GmbH Reader,1732614063620,1732614069651,6031,True,False
28,5,LMU Reader,1732614088677,1732614088678,1,True,True
29,5,Studierendenwerk Reader,1732614098305,1732614098306,1,True,True
30,5,SaveSeat GmbH Reader,1732614110658,1732614116655,5997,True,False
