Task,Day,Verifier,Starttime,Endtime,Duration,Pre-Consent Enabled,Pre-Consent Configured
1,1,LMU Reader,1732737912317,1732737921381,9064,False,False
2,1,Studierendenwerk Reader,1732737943413,1732737946821,3408,False,False
3,1,SaveSeat GmbH Reader,1732737965082,1732737967903,2821,False,False
4,2,Studierendenwerk Reader,1732737982582,1732737986829,4247,False,False
5,2,SaveSeat GmbH Reader,1732738001205,1732738003412,2207,False,False
6,2,MVG Reader,1732738016244,1732738030273,14029,False,False
7,3,Studierendenwerk Reader,1732738099938,1732738101970,2032,False,False
8,3,LMU Reader,1732738163623,1732738166738,3115,False,False
9,3,Studierendenwerk Reader,1732738194161,1732738194994,833,False,False
10,4,MVG Reader,1732738240931,1732738244169,3238,False,False
11,4,LMU Reader,1732738269453,1732738272438,2985,False,False
12,4,SaveSeat GmbH Reader,1732738440430,1732738473401,32971,False,False
13,5,Studierendenwerk Reader,1732738561607,1732738563822,2215,False,False
14,5,LMU Reader,1732738584087,1732738589298,5211,False,False
15,5,SaveSeat GmbH Reader,1732738606848,1732738620786,13938,False,False
16,1,Studierendenwerk Reader,1732738764776,1732738768033,3257,True,False
17,1,LMU Reader,1732738828846,1732738832893,4047,True,False
18,1,SaveSeat GmbH Reader,1732738844836,1732738848074,3238,True,False
19,2,MVG Reader,1732738856109,1732738862323,6214,True,False
20,2,Studierendenwerk Reader,1732738912791,1732738912792,1,True,True
21,2,SaveSeat GmbH Reader,1732738942757,1732738947833,5076,True,False
22,3,LMU Reader,1732738971868,1732738976663,4795,True,False
23,3,Studierendenwerk Reader,1732738986152,1732738986153,1,True,True
24,3,MVG Reader,1732738996717,1732738996718,1,True,True
25,4,Studierendenwerk Reader,1732739013451,1732739013451,0,True,True
26,4,LMU Reader,1732739025752,1732739045909,20157,True,False
27,4,SaveSeat GmbH Reader,1732739078085,1732739085720,7635,True,False
28,5,LMU Reader,1732739162734,1732739162735,1,True,True
29,5,Studierendenwerk Reader,1732739223562,1732739223563,1,True,True
30,5,SaveSeat GmbH Reader,1732739235503,1732739242137,6634,True,False
