Task,Day,Verifier,Starttime,Endtime,Duration,Pre-Consent Enabled,Pre-Consent Configured
1,1,LMU Reader,1732872936357,1732872959065,22708,False,False
2,1,Studierendenwerk Reader,1732873010268,1732873022550,12282,False,False
3,1,SaveSeat GmbH Reader,1732873037229,1732873051358,14129,False,False
4,2,Studierendenwerk Reader,1732873082632,1732873087846,5214,False,False
5,2,SaveSeat GmbH Reader,1732873095646,1732873100506,4860,False,False
6,2,MVG Reader,1732873111076,1732873140983,29907,False,False
7,3,Studierendenwerk Reader,1732873176668,1732873180890,4222,False,False
8,3,LMU Reader,1732873199635,1732873206073,6438,False,False
9,3,Studierendenwerk Reader,1732873229273,1732873232279,3006,False,False
10,4,MVG Reader,1732873247006,1732873253100,6094,False,False
11,4,LMU Reader,1732873285434,1732873303094,17660,False,False
12,4,SaveSeat GmbH Reader,1732873361491,1732873401398,39907,False,False
13,5,Studierendenwerk Reader,1732873431102,1732873434564,3462,False,False
14,5,LMU Reader,1732873463753,1732873468610,4857,False,False
15,5,SaveSeat GmbH Reader,1732873484881,1732873503424,18543,False,False
16,1,Studierendenwerk Reader,1732873683310,1732873728904,45594,True,False
17,1,LMU Reader,1732873773571,1732873780468,6897,True,False
18,1,SaveSeat GmbH Reader,1732873795718,1732873800928,5210,True,False
19,2,MVG Reader,1732873816354,1732873819166,2812,True,False
20,2,Studierendenwerk Reader,1732873831568,1732873839034,7466,True,False
21,2,SaveSeat GmbH Reader,1732873852709,1732873858543,5834,True,False
22,3,LMU Reader,1732873874219,1732873879667,5448,True,False
23,3,Studierendenwerk Reader,1732873896995,1732873896999,4,True,True
24,3,MVG Reader,1732873911641,1732873914306,2665,True,False
25,4,Studierendenwerk Reader,1732873931581,1732873931583,2,True,True
26,4,LMU Reader,1732873952717,1732873957086,4369,True,False
27,4,SaveSeat GmbH Reader,1732873996785,1732874016885,20100,True,False
28,5,LMU Reader,1732874036232,1732874039110,2878,True,False
29,5,Studierendenwerk Reader,1732874049867,1732874049872,5,True,True
30,5,SaveSeat GmbH Reader,1732874060379,1732874066530,6151,True,False
