Task,Day,Verifier,Starttime,Endtime,Duration,Pre-Consent Enabled,Pre-Consent Configured
1,1,LMU Reader,1732901570634,1732901604165,33531,False,False
2,1,Studierendenwerk Reader,1732901619737,1732901653150,33413,False,False
3,1,SaveSeat GmbH Reader,1732901678926,1732901708025,29099,False,False
4,2,Studierendenwerk Reader,1732901746511,1732901753778,7267,False,False
5,2,SaveSeat GmbH Reader,1732901811868,1732901865569,53701,False,False
6,2,MVG Reader,1732901880151,1732901894707,14556,False,False
7,3,Studierendenwerk Reader,1732901907774,1732901914019,6245,False,False
8,3,LMU Reader,1732901924489,1732901940602,16113,False,False
9,3,Studierendenwerk Reader,1732901949690,1732901951380,1690,False,False
10,4,MVG Reader,1732901962634,1732901973587,10953,False,False
11,4,LMU Reader,1732901990014,1732902015862,25848,False,False
12,4,SaveSeat GmbH Reader,1732902031087,1732902045034,13947,False,False
13,5,Studierendenwerk Reader,1732902073714,1732902086855,13141,False,False
14,5,LMU Reader,1732902106620,1732902133120,26500,False,False
15,5,SaveSeat GmbH Reader,1732902152150,1732902175873,23723,False,False
16,1,Studierendenwerk Reader,1732902335335,1732902350201,14866,True,False
17,1,LMU Reader,1732902364029,1732902374607,10578,True,False
18,1,SaveSeat GmbH Reader,1732902388405,1732902398824,10419,True,False
19,2,MVG Reader,1732902487092,1732902491277,4185,True,False
20,2,Studierendenwerk Reader,1732902505622,1732902505627,5,True,True
21,2,SaveSeat GmbH Reader,1732902526885,1732902531698,4813,True,False
22,3,LMU Reader,1732902549560,1732902579943,30383,True,False
23,3,Studierendenwerk Reader,1732902592626,1732902592630,4,True,True
24,3,MVG Reader,1732902605831,1732902605834,3,True,True
25,4,Studierendenwerk Reader,1732902627417,1732902627421,4,True,True
26,4,LMU Reader,1732902636148,1732902650473,14325,True,False
27,4,SaveSeat GmbH Reader,1732902667652,1732902671561,3909,True,False
28,5,LMU Reader,1732902692009,1732902744502,52493,True,False
29,5,Studierendenwerk Reader,1732902767618,1732902767620,2,True,True
30,5,SaveSeat GmbH Reader,1732902788245,1732902790153,1908,True,False
