Task,Day,Verifier,Starttime,Endtime,Duration,Pre-Consent Enabled,Pre-Consent Configured
1,1,LMU Reader,1732888862961,1732888868827,5866,False,False
2,1,Studierendenwerk Reader,1732888886634,1732888890004,3370,False,False
3,1,SaveSeat GmbH Reader,1732888909603,1732888912448,2845,False,False
4,2,Studierendenwerk Reader,1732888977533,1732888979444,1911,False,False
5,2,SaveSeat GmbH Reader,1732888992805,1732888997694,4889,False,False
6,2,MVG Reader,1732889011663,1732889015853,4190,False,False
7,3,Studierendenwerk Reader,1732889069787,1732889071954,2167,False,False
8,3,LMU Reader,1732889085088,1732889089139,4051,False,False
9,3,Studierendenwerk Reader,1732889096759,1732889105059,8300,False,False
10,4,MVG Reader,1732889128759,1732889135968,7209,False,False
11,4,LMU Reader,1732889220476,1732889223661,3185,False,False
12,4,SaveSeat GmbH Reader,1732889367362,1732889371501,4139,False,False
13,5,Studierendenwerk Reader,1732889401033,1732889402823,1790,False,False
14,5,LMU Reader,1732889412830,1732889414708,1878,False,False
15,5,SaveSeat GmbH Reader,1732889425191,1732889427189,1998,False,False
16,1,Studierendenwerk Reader,1732889511171,1732889526187,15016,True,False
17,1,LMU Reader,1732889539783,1732889550535,10752,True,False
18,1,SaveSeat GmbH Reader,1732889566221,1732889576847,10626,True,False
19,2,MVG Reader,1732889594192,1732889597201,3009,True,False
20,2,Studierendenwerk Reader,1732889610402,1732889610405,3,True,True
21,2,SaveSeat GmbH Reader,1732889627423,1732889627426,3,True,True
22,3,LMU Reader,1732889642075,1732889642078,3,True,True
23,3,Studierendenwerk Reader,1732889694526,1732889694528,2,True,True
24,3,MVG Reader,1732889755452,1732889755455,3,True,True
25,4,Studierendenwerk Reader,1732889766050,1732889766053,3,True,True
26,4,LMU Reader,1732889775178,1732889793765,18587,True,False
27,4,SaveSeat GmbH Reader,1732889816042,1732889824465,8423,True,False
28,5,LMU Reader,1732889846657,1732889846659,2,True,True
29,5,Studierendenwerk Reader,1732889855728,1732889855730,2,True,True
30,5,SaveSeat GmbH Reader,1732889865452,1732889875425,9973,True,False
